,Efficiency_Avg,Efficiency_X,Efficiency_G,QoE,Bitrate,Throughput,Buffer_Size,VMAF,Rebuffer_Time,Rebuffer_Count,Smoothness_Change,Data,Energy_Avg,Energy_G,Energy_X
3g_report.2010-09-28_1407CEST,5.281562089134306,6.34403955524622,4.2190846230223915,102.7917366344796,64350,101.80699683432826,1839.0224097566404,2170.024093916666,0.1431901454877651,0,19.0,26304882.0,20283.20007936107,24363.516217137054,16202.883941585093
3g_report.2010-11-10_1424CET,5.775115175991884,7.059405072637859,4.490825279345907,101.75033626934032,67500,642.4200629654681,2243.2622279654483,2128.4914065729167,0.0843513170049398,0,18.0,27327822.0,18535.411913931173,22657.380312101646,14413.443515760697
3g_report.2010-11-16_1857CET,4.386712157392127,4.8140392183564185,3.9593850964278356,97.76342713815585,65550,86.98229973169761,1514.8994608088003,2145.06003425,0.14062553726967852,0,20.0,27367568.0,22499.77565504816,24691.56819991018,20307.983110186142
3g_report.2010-11-23_1606CET,4.933507424635085,5.8961023702248205,3.9709124790453503,92.99244250639205,68000,170.74667497119188,2095.424389460433,2108.6752301354168,0.11222776335202175,0,21.0,27984884.0,19595.12826563874,23418.406473856212,15771.850057421274
3g_report.2010-12-09_1334CET,-0.5839509329642233,-0.4742650835581507,-0.6936367823702958,-68.85737974262562,65750,38.896178147673446,194.52748176840052,2172.5761873854167,69.76417665962862,31,17.0,26522224.0,122228.80952019618,99270.0812481803,145187.53779221207
3g_report.2011-01-31_1830CET,5.181811305751042,6.197535003385297,4.166087608116787,101.33931322891505,67300,115.6656167429833,2037.5467370016422,2157.82031778125,0.1366863396415097,0,19.0,28168780.0,20338.18363271399,24324.81569313993,16351.551572288045
3g_report.2011-02-01_0740CET,4.027793987644716,4.633282656687995,3.4223053186014374,91.9700701310083,67450,154.49701324658392,1768.0276342926197,2140.9236646354166,1.676241007268145,1,21.0,27394342.0,23361.79557023704,26873.718610411088,19849.872530062992
3g_report.2011-02-02_1251CET,2.0926998270375736,2.103947844525828,2.081451809549319,72.9725034989907,63550,76.63081901561888,960.8865712147275,2133.8781561145834,9.580920534968266,5,18.0,25118516.0,34871.03632676165,35058.46407983421,34683.6085736891
3g_report.2011-02-10_1611CET,4.78533029861018,5.71146953448782,3.85919106273254,92.51769429176287,63350,279.42121492041764,1795.5907177228,2120.1863690104165,4.365507634546647,0,20.0,25823929.0,20085.959164265107,23973.3386577276,16198.579670802612
4g_report_bus_0001,-0.9118848432090538,-0.6928038571988245,-1.1309658292192832,-266.8576234461982,69200,26.56892204995833,183.47168752288576,2179.6390313958336,209.2047371187067,39,18.0,28550610.0,310570.23509449314,235955.51390833146,385184.95628065476
4g_report_car_0001,5.002174639899707,6.040020882742668,3.9643283970567467,93.75183752069648,59400,301.0757040782891,2052.2405994848564,2144.5282671875,1.0921605975576767,0,22.0,25051419.0,19585.31564162884,23648.857544269307,15521.77373898837
4g_report_car_0002,4.888604754827159,5.796146610029312,3.981062899625006,99.01015484779951,62800,78.06843944316483,1539.0700563126968,2140.8546495104165,0.14661798010773294,0,20.0,25675393.0,20976.1733801797,24870.281466069202,17082.0652942902
4g_report_foot_0001,5.017982774109322,6.016813952342507,4.019151595876139,96.93056231798764,64900,135.99416991998527,2034.1443196134471,2129.3655594687502,0.117920601149568,0,21.0,26645446.0,20113.559204153735,24117.170006088723,16109.948402218746
4g_report_foot_0005,4.877257729435634,5.779131879888394,3.9753835789828744,99.66101427749796,70350,91.72738249178501,1504.107991961797,2166.9430856666663,0.14966256204670317,0,20.0,28945875.0,21157.25711168762,25069.534121031113,17244.980102344125
4g_report_foot_0006,4.755987723969768,5.632798163394881,3.879177284544655,97.37135833484417,63850,69.57664711542134,1272.0055375970442,2118.791504427083,0.16271535764913397,0,20.0,26272458.0,21193.766036183246,25101.03333580275,17286.498736563743
