,iteration,score,avgScore,power,avgPower,data,avgData,quality,avg_quality,rebufferPen,numrebuffer,smoothPen,numSmooth,powerPen,avgPowerPen,epsilon
840,1000,-120.78900102326018,-314.53698977848575,116156.20135662603,121069.0347392174,34816488,33716314.32673267,166.05972941666667,155.25023981435643,0.0,1,57.13883240104167,44,-79.1811944510479,-91.47321414978111,1
841,1000,-120.78900102326018,-314.6316465918048,120184.66951467999,121130.73155313452,35909390,33789351.75247525,154.75364661979165,155.35658577227724,0.0,1,84.29816348437502,44,-88.00097477401425,-91.56122882908707,1
842,1000,-120.78900102326018,-326.5193927921012,122432.90086645467,121188.47847953106,26439756,33738358.93069307,132.63683190104166,155.12324730842613,52.85015508185337,32,83.21640588541665,44,-95.03828586491665,-91.68427039974097,1
843,1000,-120.78900102326018,-326.93511399929,115343.61378923556,121126.1588574516,29523099,33653400.15841584,141.69181418749994,154.86466385133048,0.0,1,74.055292890625,44,-81.42610408822836,-91.58878358896088,1
844,1000,-120.78900102326018,-338.377658334573,128818.3667889735,121233.14272320324,35715309,33676173.48514851,162.85237176041664,154.9750797635107,0.0,29,58.940913697916656,44,-110.6476164124746,-91.83635387824101,1
845,1000,-120.78900102326018,-338.5504164643252,120835.59643363714,121244.54610118191,36242281,33701627.25742574,159.28627431770835,154.94612349422442,0.0,2,66.72022639062499,44,-92.4438427100736,-91.9039439714292,1
846,1000,-120.78900102326018,-345.4784666649965,127908.88245692186,121368.1138335913,38503921,33785992.138613865,160.76542071875008,155.03479981476897,49.37059713594594,26,69.03420231770832,44,-104.0808833527716,-92.17361122974089,1
847,1000,-120.78900102326018,-345.29192670021706,116180.78710392481,121341.2783382308,31722964,33750974.94059406,160.9401776666667,155.0329795264542,0.0,1,55.480485869791664,44,-80.09822889671295,-92.10660599759797,1
848,1000,-120.78900102326018,-349.2723682544971,120980.42283541065,121336.01767177868,29948718,33713193.88118812,136.30609546875002,154.96176472303011,31.80696092532074,21,85.13830666145833,44,-91.71046252730663,-92.09028874716479,1
849,1000,-120.78900102326018,-349.36567589674627,117868.29484638483,121346.66499131013,33467767,33726809.97029703,159.8720421041667,155.12024572612418,0.0,2,58.745401307291665,44,-85.73608256118936,-92.12573924325142,1
850,1000,-120.78900102326018,-348.83682202873945,114872.91447181729,121320.3820630606,28646204,33691276.653465346,150.51661747916663,155.14838554213077,0.0,1,60.16368084895833,44,-78.44490068091599,-92.07873375844189,1
851,1000,-120.78900102326018,-347.580913584217,114977.9400393917,121318.38949564345,33797591,33745525.33663366,156.9611016302084,155.36853724902022,0.0,1,68.206895828125,44,-77.71917269543158,-92.06059575044968,1
852,1000,-120.78900102326018,-304.6630178815309,114462.39892073155,120965.43253725386,29800304,33664799.12871287,154.49131405729167,155.29335802748557,0.0,1,61.12536723437502,43,-78.38488312098676,-91.23409287180233,1
853,1000,-120.78900102326018,-304.2161426654166,118771.86838399823,120978.68061018575,39063761,33736851.475247525,175.49851877604166,155.51243047761963,0.0,1,50.96418714583332,44,-86.1915128648999,-91.30166612748445,1
854,1000,-120.78900102326018,-313.5855018110135,126096.6068538851,121072.41661927389,33652971,33757609.98019802,154.86260340104164,155.49824910365098,1.4187192674534883,24,60.5394505625,43,-100.55305173893139,-91.50900523140398,1
855,1000,-120.78900102326018,-314.4770798264876,119870.39934128217,121038.02458373265,33779083,33719267.06930693,158.08153420312507,155.4361448896452,0.0,4,78.04734831250003,44,-89.18000110381743,-91.43993450005752,1
856,1000,-120.78900102326018,-314.16069081733394,118116.93287989125,120986.78425147892,33958353,33661135.93069307,169.37627825520838,155.4209335294451,0.0,1,54.485432239583346,44,-82.68458683715875,-91.29567137001897,1
857,1000,-120.78900102326018,-315.08460174665123,124201.77988480426,121006.08272416766,39699744,33665175.94059406,168.25282805208332,155.37168101361385,0.0,5,56.69987336979167,43,-97.85709362602866,-91.33775838225944,1
858,1000,-120.78900102326018,-299.32943312195556,130069.51863686007,120968.83963972391,36929682,33737412.93069307,162.18186985416665,155.52834760148517,99.53781843892322,32,73.03864730729168,44,-109.40152860705997,-91.20314359511083,1
859,1000,-120.78900102326018,-310.4421221323022,124728.61574180315,121038.54946881774,30760080,33729235.267326735,153.22414616666663,155.49889841130363,62.63139224727859,34,71.01015231249998,44,-98.47732918585852,-91.36260302776417,1
860,1000,-120.78900102326018,-310.2297367378351,115402.00055950345,121056.3294596189,31407872,33762184.316831686,149.70553943750005,155.54961566563532,0.0,2,64.77579555208335,44,-80.5705311321867,-91.4030249864856,1
861,1000,-120.78900102326018,-306.62307330715043,116228.30794779069,121054.10103251379,31157508,33818106.0990099,149.8988513177083,155.69147429192452,0.0,1,83.05509013541662,44,-80.47689870507872,-91.39305382693865,1
862,1000,-120.78900102326018,-325.8055346523038,130332.51921004843,121219.38287698013,31528649,33859062.138613865,162.10444891666668,155.89217513500415,33.25673087732902,29,64.15764893229168,44,-112.39516452459067,-91.72920919396752,1
863,1000,-120.78900102326018,-324.9353510600381,117314.38365310743,121212.92833794262,31239030,33839694.297029704,154.12773840625002,155.98674608188946,0.0,4,71.15599489062501,44,-81.64528067875744,-91.70441457995025,1
864,1000,-120.78900102326018,-327.96772401834494,124480.47072617982,121257.96705082337,38532500,33874630.20792079,163.27865386458336,155.95117517533004,0.0,5,69.89102305729166,44,-98.61469028704602,-91.83037407657771,1
865,1000,-120.78900102326018,-315.9369951828109,117132.10583245018,121124.31491665258,31917190,33840225.861386135,147.23098546875002,155.82925921369636,0.0,1,83.1494434375,44,-82.50035075858392,-91.544499611296,1
866,1000,-120.78900102326018,-316.8756573830397,120813.31343618901,121172.1905180414,35564924,33888056.00990099,158.840223359375,155.87892194822606,0.0,3,71.19793775000001,44,-89.31754125861913,-91.65313521736783,1
867,1000,-120.78900102326018,-316.12344348943464,119636.07761434781,121151.72073206257,34767461,33883502.77227723,158.93663638541668,155.91165684158415,0.0,1,61.89197640625,44,-88.14220767635362,-91.62865059517908,1
868,1000,-120.78900102326018,-315.76805945523535,120155.6585073115,121169.83086576637,37107924,33927398.762376234,164.46746004166667,156.16474374386345,0.0,1,70.19188689583336,43,-91.1522971385066,-91.69945266850598,1
869,1000,-120.78900102326018,-321.6898205642729,130623.49706344078,121273.43759253534,41406089,34000807.732673265,170.65713585937496,156.31342076639854,27.136648227449164,30,61.3666595416667,44,-112.73107856716067,-91.94378831330289,1
