CMDLINE /Users/andreabalillo/PycharmProjects/GreenABR+/venv/bin/python agent.py
MEM 0.117188 1694900870.7167
MEM 17.078125 1694900870.8173
MEM 27.304688 1694900870.9176
MEM 34.363281 1694900871.0222
MEM 36.402344 1694900871.1243
MEM 48.304688 1694900871.2246
MEM 53.660156 1694900871.3251
MEM 60.082031 1694900871.4262
MEM 69.160156 1694900871.5270
MEM 75.527344 1694900871.6282
